DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE
7/20/2018,2,MSW-NY-F,,5.5,Turf,Drynachan,4,2.1,1,1,Chad Brown,Javier Castellano,01:03.3,,,City Zip
7/20/2018,2,MSW-NY-F,,5.5,Turf,Shady Shady Shady,5,8.5,0,2,Michelle Nevin,John Velazquez,01:03.6,,,Hat Trick (JPN)
7/20/2018,2,MSW-NY-F,,5.5,Turf,Molly's Party,7,33.25,0,3,John Kimmel,Jose Lezcano,01:03.8,,,Desert Party
7/20/2018,2,MSW-NY-F,,5.5,Turf,Mike's Girl,9,4.4,0,4,Steven Asmussen,"Ricardo Santana, Jr.",01:03.8,,,Scat Daddy
7/20/2018,2,MSW-NY-F,,5.5,Turf,Andarta,6,35.25,0,5,Thomas Albertrani,Luis Reyes,01:03.9,,,Declaration of War
7/20/2018,2,MSW-NY-F,,5.5,Turf,Caralicious,3,22.9,0,6,Mitchell Friedman,Junior Alvarado,01:04.1,BEL 6/29 1,21,Noble Mission (GB)
7/20/2018,2,MSW-NY-F,,5.5,Turf,Too Foofoo for You,1,2.9,0,7,Thomas Morley,Manuel Franco,01:04.2,BEL 6/15 4,35,Freud
7/20/2018,2,MSW-NY-F,,5.5,Turf,Bank Examiner,10,5.8,0,8,Jeremiah Englehart,"Irad Ortiz, Jr.",01:04.8,,,Central Banker
7/20/2018,2,MSW-NY-F,,5.5,Turf,Big Brown Cat,8,28.75,0,9,Gary Gullo,Joel Rosario,01:05.9,,,Big Brown
7/20/2018,2,MSW-NY-F,,5.5,Turf,Wicked Waters,2,18.2,0,10,Jeremiah Englehart,Luis Saez,01:08.1,,,Stormy Atlantic
7/20/2018,5,MSW-F,,5.5,Dirt,Lyrical Lady,6,6.9,0,1,Steven Asmussen,"Ricardo Santana, Jr.",01:04.2,,,More Than Ready
7/20/2018,5,MSW-F,,5.5,Dirt,She's Got It All,5,21.2,0,2,D. Lukas,Luis Saez,01:05.1,CD 6/30 4,20,Warrior's Reward
7/20/2018,5,MSW-F,,5.5,Dirt,Winandyourin Gin,4,15.3,0,3,Mark Casse,Florent Geroux,01:05.1,,,Into Mischief
7/20/2018,5,MSW-F,,5.5,Dirt,Teletype,10,33.25,0,4,William Mott,Junior Alvarado,01:05.2,,,Data Link
7/20/2018,5,MSW-F,,5.5,Dirt,Brass Ring,1,47.75,0,5,Leah Gyarmati,Rajiv Maragh,01:05.8,BEL 6/13 2,37,Shackleford
7/20/2018,5,MSW-F,,5.5,Dirt,Arms Wide Open,8,27,0,6,Raymond Handal,Manuel Franco,01:06.0,,,Jimmy Creed
7/20/2018,5,MSW-F,,5.5,Dirt,Wild Type,3,4.4,0,7,Eddie Kenneally,Jose Ortiz,01:06.0,CD 6/15 4,35,Successful Appeal
7/20/2018,5,MSW-F,,5.5,Dirt,Mertz,9,8,0,8,Rudy Rodriguez,"Irad Ortiz, Jr.",01:06.1,BEL 5/19 1,62,Ghostzapper
7/20/2018,5,MSW-F,,5.5,Dirt,Princess Trina,7,6,0,9,Ralph Nicks,Joel Rosario,01:06.3,,,Congrats
7/20/2018,5,MSW-F,,5.5,Dirt,Blahnik,2,1.25,1,10,Todd Pletcher,John Velazquez,01:07.0,,,Bernardini
7/20/2018,8,GRD-F,Schuylerville S.,6,Dirt,Catherinethegreat,1,3.2,0,1,Mark Casse,Jose Ortiz,01:10.0,GP 6/23 4,27,Uncaptured
7/20/2018,8,GRD-F,Schuylerville S.,6,Dirt,Nonna Madeline,2,2.15,1,2,Todd Pletcher,John Velazquez,01:10.6,MTH 6/23 3,27,Candy Ride (ARG)
7/20/2018,8,GRD-F,Schuylerville S.,6,Dirt,Congrats Gal,3,14.7,0,3,Cathal Lynch,J. Acosta,01:10.8,LRL 6/10 4,40,Congrats
